trajectory,final_freq
0,0.4985
1,0.5077
2,0.5017
3,0.5068
4,0.5039
5,0.4966
6,0.5013
7,0.5092
8,0.499
9,0.501
10,0.5029
11,0.497
12,0.4975
13,0.4952
14,0.4923
15,0.5104
16,0.5013
17,0.4932
18,0.4921
19,0.4952
20,0.5047
21,0.5065
22,0.5012
23,0.5009
24,0.4993
25,0.4921
26,0.5038
27,0.5027
28,0.5021
29,0.496
30,0.497
31,0.4943
32,0.5049
33,0.4904
34,0.506
35,0.4986
36,0.497
37,0.5008
38,0.4994
39,0.4932
40,0.4979
41,0.4977
42,0.4932
43,0.4976
44,0.4981
45,0.4891
46,0.4909
47,0.5072
48,0.4971
49,0.4946
