k,traj_0,traj_1,traj_2,traj_3,traj_4,traj_5,traj_6,traj_7,traj_8,traj_9,traj_10,traj_11,traj_12,traj_13,traj_14,traj_15,traj_16,traj_17,traj_18,traj_19,traj_20,traj_21,traj_22,traj_23,traj_24,traj_25,traj_26,traj_27,traj_28,traj_29,traj_30,traj_31,traj_32,traj_33,traj_34,traj_35,traj_36,traj_37,traj_38,traj_39,traj_40,traj_41,traj_42,traj_43,traj_44,traj_45,traj_46,traj_47,traj_48,traj_49
1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
51,0.49019607843137253,0.5294117647058824,0.43137254901960786,0.5098039215686274,0.39215686274509803,0.45098039215686275,0.5490196078431373,0.45098039215686275,0.49019607843137253,0.39215686274509803,0.49019607843137253,0.5294117647058824,0.5882352941176471,0.5686274509803921,0.5490196078431373,0.45098039215686275,0.5098039215686274,0.45098039215686275,0.49019607843137253,0.5490196078431373,0.47058823529411764,0.5294117647058824,0.47058823529411764,0.5098039215686274,0.6078431372549019,0.47058823529411764,0.49019607843137253,0.49019607843137253,0.47058823529411764,0.39215686274509803,0.5490196078431373,0.45098039215686275,0.5882352941176471,0.5294117647058824,0.5490196078431373,0.5098039215686274,0.4117647058823529,0.5490196078431373,0.6470588235294118,0.49019607843137253,0.47058823529411764,0.39215686274509803,0.47058823529411764,0.47058823529411764,0.5490196078431373,0.39215686274509803,0.45098039215686275,0.49019607843137253,0.49019607843137253,0.5294117647058824
101,0.4752475247524752,0.5445544554455446,0.43564356435643564,0.48514851485148514,0.40594059405940597,0.42574257425742573,0.5445544554455446,0.5346534653465347,0.504950495049505,0.43564356435643564,0.5643564356435643,0.48514851485148514,0.504950495049505,0.5742574257425742,0.44554455445544555,0.5247524752475248,0.5247524752475248,0.5148514851485149,0.5148514851485149,0.5247524752475248,0.40594059405940597,0.5247524752475248,0.504950495049505,0.48514851485148514,0.5445544554455446,0.49504950495049505,0.5148514851485149,0.5148514851485149,0.46534653465346537,0.504950495049505,0.49504950495049505,0.49504950495049505,0.5346534653465347,0.5247524752475248,0.46534653465346537,0.49504950495049505,0.44554455445544555,0.5247524752475248,0.5247524752475248,0.5247524752475248,0.48514851485148514,0.38613861386138615,0.504950495049505,0.504950495049505,0.5148514851485149,0.4158415841584158,0.45544554455445546,0.4752475247524752,0.504950495049505,0.5742574257425742
151,0.46357615894039733,0.4900662251655629,0.44370860927152317,0.5231788079470199,0.4370860927152318,0.48344370860927155,0.5165562913907285,0.5364238410596026,0.48344370860927155,0.4503311258278146,0.543046357615894,0.4768211920529801,0.4900662251655629,0.5629139072847682,0.41721854304635764,0.5231788079470199,0.543046357615894,0.5165562913907285,0.5231788079470199,0.543046357615894,0.4503311258278146,0.5364238410596026,0.5231788079470199,0.4900662251655629,0.5165562913907285,0.5033112582781457,0.5629139072847682,0.5231788079470199,0.4900662251655629,0.46357615894039733,0.4768211920529801,0.4966887417218543,0.5562913907284768,0.5298013245033113,0.4768211920529801,0.5165562913907285,0.4966887417218543,0.5364238410596026,0.5099337748344371,0.5165562913907285,0.45695364238410596,0.45695364238410596,0.4966887417218543,0.4966887417218543,0.4966887417218543,0.45695364238410596,0.5033112582781457,0.47019867549668876,0.4966887417218543,0.5364238410596026
201,0.48258706467661694,0.48258706467661694,0.48258706467661694,0.4975124378109453,0.4427860696517413,0.4527363184079602,0.5074626865671642,0.5074626865671642,0.48258706467661694,0.472636815920398,0.5422885572139303,0.4626865671641791,0.5124378109452736,0.5522388059701493,0.42786069651741293,0.5373134328358209,0.5174129353233831,0.5024875621890548,0.527363184079602,0.5074626865671642,0.4626865671641791,0.527363184079602,0.5174129353233831,0.5373134328358209,0.527363184079602,0.4975124378109453,0.582089552238806,0.5373134328358209,0.48258706467661694,0.48756218905472637,0.46766169154228854,0.5174129353233831,0.5472636815920398,0.5223880597014925,0.5074626865671642,0.5074626865671642,0.4925373134328358,0.5522388059701493,0.5074626865671642,0.5223880597014925,0.46766169154228854,0.4427860696517413,0.4626865671641791,0.5174129353233831,0.5174129353233831,0.48258706467661694,0.4975124378109453,0.48756218905472637,0.5074626865671642,0.5074626865671642
251,0.4940239043824701,0.47808764940239046,0.5139442231075697,0.5139442231075697,0.4581673306772908,0.4701195219123506,0.5179282868525896,0.5219123505976095,0.4900398406374502,0.4701195219123506,0.549800796812749,0.4701195219123506,0.5219123505976095,0.5179282868525896,0.4581673306772908,0.5418326693227091,0.5219123505976095,0.4860557768924303,0.5099601593625498,0.4900398406374502,0.47808764940239046,0.5179282868525896,0.5099601593625498,0.5418326693227091,0.5298804780876494,0.46215139442231074,0.5537848605577689,0.549800796812749,0.47410358565737054,0.47410358565737054,0.4541832669322709,0.5139442231075697,0.5298804780876494,0.5219123505976095,0.4900398406374502,0.4940239043824701,0.4820717131474104,0.5697211155378487,0.5139442231075697,0.5418326693227091,0.49800796812749004,0.450199203187251,0.4820717131474104,0.5219123505976095,0.5099601593625498,0.4701195219123506,0.5179282868525896,0.4940239043824701,0.47410358565737054,0.5059760956175299
301,0.4850498338870432,0.47840531561461797,0.5049833887043189,0.5116279069767442,0.47840531561461797,0.47840531561461797,0.521594684385382,0.53156146179402,0.4983388704318937,0.46511627906976744,0.5382059800664452,0.4850498338870432,0.521594684385382,0.5116279069767442,0.46511627906976744,0.5448504983388704,0.5149501661129569,0.47840531561461797,0.5049833887043189,0.48172757475083056,0.45182724252491696,0.5049833887043189,0.5016611295681063,0.5348837209302325,0.5249169435215947,0.48172757475083056,0.5581395348837209,0.5614617940199336,0.4750830564784053,0.48172757475083056,0.43853820598006643,0.5049833887043189,0.5249169435215947,0.5149501661129569,0.4950166112956811,0.4883720930232558,0.49169435215946844,0.5415282392026578,0.5249169435215947,0.5182724252491694,0.49169435215946844,0.45182724252491696,0.49169435215946844,0.5049833887043189,0.5116279069767442,0.46511627906976744,0.521594684385382,0.5116279069767442,0.47840531561461797,0.5149501661129569
351,0.4928774928774929,0.49572649572649574,0.5071225071225072,0.5156695156695157,0.4928774928774929,0.4672364672364672,0.50997150997151,0.5185185185185185,0.5128205128205128,0.4586894586894587,0.5413105413105413,0.4843304843304843,0.5213675213675214,0.5071225071225072,0.49002849002849,0.5470085470085471,0.5299145299145299,0.46438746438746437,0.4985754985754986,0.48148148148148145,0.46438746438746437,0.5042735042735043,0.49002849002849,0.5470085470085471,0.5156695156695157,0.48717948717948717,0.5185185185185185,0.5356125356125356,0.46438746438746437,0.4843304843304843,0.4472934472934473,0.5042735042735043,0.5014245014245015,0.5242165242165242,0.5014245014245015,0.49572649572649574,0.47293447293447294,0.5356125356125356,0.5014245014245015,0.5327635327635327,0.47863247863247865,0.4672364672364672,0.50997150997151,0.49002849002849,0.5071225071225072,0.4757834757834758,0.5156695156695157,0.5156695156695157,0.47863247863247865,0.5185185185185185
401,0.4937655860349127,0.5062344139650873,0.5012468827930174,0.5112219451371571,0.486284289276808,0.47381546134663344,0.5037406483790524,0.5211970074812967,0.5211970074812967,0.4538653366583541,0.5361596009975063,0.49875311720698257,0.5236907730673317,0.49875311720698257,0.4937655860349127,0.5411471321695761,0.5187032418952618,0.46633416458852867,0.4937655860349127,0.4713216957605985,0.4613466334164589,0.49875311720698257,0.47381546134663344,0.5361596009975063,0.49875311720698257,0.4837905236907731,0.5236907730673317,0.5261845386533666,0.46633416458852867,0.4912718204488778,0.47381546134663344,0.49625935162094764,0.513715710723192,0.516209476309227,0.48877805486284287,0.49875311720698257,0.46633416458852867,0.5361596009975063,0.5112219451371571,0.5087281795511222,0.4912718204488778,0.46633416458852867,0.49875311720698257,0.48877805486284287,0.513715710723192,0.45885286783042395,0.5211970074812967,0.516209476309227,0.47880299251870323,0.513715710723192
451,0.5033259423503326,0.49445676274944567,0.5099778270509978,0.5099778270509978,0.4811529933481153,0.47671840354767187,0.49667405764966743,0.5077605321507761,0.5210643015521065,0.4656319290465632,0.5521064301552107,0.5055432372505543,0.5188470066518847,0.5011086474501109,0.49002217294900224,0.5210643015521065,0.5188470066518847,0.4700665188470067,0.48558758314855877,0.47671840354767187,0.4656319290465632,0.5055432372505543,0.48337028824833705,0.5254988913525499,0.5033259423503326,0.48337028824833705,0.516629711751663,0.532150776053215,0.4789356984478936,0.49445676274944567,0.4678492239467849,0.49889135254988914,0.5055432372505543,0.5099778270509978,0.4789356984478936,0.5055432372505543,0.4611973392461197,0.5432372505543237,0.49889135254988914,0.5077605321507761,0.49667405764966743,0.45454545454545453,0.48558758314855877,0.49667405764966743,0.5232815964523282,0.4523281596452328,0.5188470066518847,0.5099778270509978,0.48337028824833705,0.5099778270509978
